,City,Country,temperature,humidity,cloudiness,wind_speed,latitude,longtitude
134,melfi,IT,12.5,64.0,88.0,2.91,40.9965,15.6514
135,kibaya,TZ,17.69,91.0,99.0,1.68,-5.3,36.5667
136,iqaluit,CA,-18.37,90.0,50.0,1.38,63.7506,-68.5145
137,lavrentiya,RU,-4.25,87.0,98.0,0.55,65.5833,-171.0
138,morondava,MG,24.93,84.0,100.0,3.52,-20.2833,44.2833
139,vaini,TO,25.38,70.0,94.0,1.78,-21.2,-175.2
140,georgetown,MY,31.81,70.0,40.0,4.63,5.4112,100.3354
141,sanchazi,CN,17.33,23.0,70.0,3.14,42.0817,126.6003
142,sarai mir,IN,41.42,7.0,0.0,7.88,26.0167,82.9167
143,yichun,CN,10.94,22.0,39.0,7.22,47.7,128.9
144,plainview,US,10.5,74.0,87.0,2.01,40.7765,-73.4673
145,comodoro rivadavia,AR,10.86,57.0,35.0,6.61,-45.8667,-67.5
146,nardaran,AZ,16.8,51.0,0.0,7.2,40.5561,50.0056
147,nagua,DO,22.04,86.0,100.0,2.16,19.3832,-69.8474
148,ibra,OM,31.69,30.0,5.0,2.73,22.6906,58.5334
149,ganzhou,CN,28.61,66.0,44.0,2.92,28.8184,115.4327
150,talnakh,RU,-14.33,90.0,57.0,2.2,69.4865,88.3972
151,coahuayana,MX,20.64,84.0,0.0,1.18,18.7333,-103.6833
152,sinnamary,GF,24.38,90.0,98.0,2.01,5.3833,-52.95
153,porto novo,BJ,26.63,87.0,100.0,1.83,6.4965,2.6036
154,havoysund,NO,4.13,94.0,100.0,9.48,70.9963,24.6622
155,bjornevatn,NO,2.19,87.0,100.0,5.66,69.6672,29.9847
156,narsaq,GL,3.12,98.0,100.0,1.88,60.9167,-46.05
157,charlestown,AU,20.49,72.0,30.0,1.34,-32.95,151.6667
158,trat,TH,34.39,56.0,47.0,2.94,12.5,102.5
159,manado,ID,32.43,62.0,40.0,3.09,1.487,124.8455
160,trapani,IT,15.15,69.0,82.0,2.6,37.8333,12.6667
161,sao joao da barra,BR,24.58,71.0,13.0,5.74,-21.6403,-41.0511
162,saint-philippe,RE,26.53,74.0,86.0,6.69,-21.3585,55.7679
163,haines junction,CA,1.04,96.0,100.0,0.81,60.7522,-137.5108
164,kathmandu,NP,29.12,28.0,20.0,1.54,27.7167,85.3167
165,norman wells,CA,-1.31,96.0,46.0,2.07,65.282,-126.8329
166,brainerd,US,10.75,79.0,46.0,4.32,46.358,-94.2008
167,yumen,CN,23.87,10.0,66.0,2.2,40.2833,97.2
168,straumen,NO,4.0,77.0,33.0,1.27,63.8709,11.2999
169,camacha,PT,13.68,72.0,75.0,0.0,33.0833,-16.3333
170,teya,RU,-0.07,91.0,100.0,2.54,60.3778,92.6267
171,vitim,RU,2.44,61.0,100.0,3.01,59.4511,112.5578
172,antsohihy,MG,27.99,66.0,37.0,2.14,-14.8796,47.9875
173,kavieng,PG,29.4,63.0,97.0,4.52,-2.5744,150.7967
174,la esperanza,GT,9.94,97.0,98.0,1.15,14.8667,-91.5667
175,clyde river,CA,-22.3,94.0,52.0,2.08,70.4692,-68.5914
176,nador,MA,14.14,72.0,0.0,3.09,35.174,-2.9287
177,keflavik,IS,6.24,75.0,100.0,1.54,64.0049,-22.5624
178,faya,SA,21.49,33.0,11.0,4.54,18.3851,42.4509
179,chokurdakh,RU,-14.99,92.0,62.0,0.99,70.6333,147.9167
180,le marin,MQ,21.95,88.0,75.0,2.06,14.4721,-60.8697
181,tasiilaq,GL,-2.63,77.0,87.0,3.25,65.6145,-37.6368
182,udachnyy,RU,-6.47,54.0,100.0,0.77,66.4167,112.4
183,monrovia,LR,24.87,83.0,100.0,1.85,6.3005,-10.7969
184,burnie,AU,13.86,1.0,8.0,1.71,-41.0667,145.9167
185,kaitangata,NZ,9.64,71.0,94.0,5.83,-46.2817,169.8464
186,yamada,JP,14.41,63.0,100.0,5.99,39.4667,141.95
187,mackay,AU,22.99,94.0,75.0,10.8,-21.15,149.2
188,lagoa,PT,13.74,74.0,18.0,9.65,39.05,-27.9833
189,bluff,NZ,10.45,66.0,97.0,9.82,-46.6,168.3333
190,saint-georges,GD,24.94,78.0,14.0,5.59,12.0564,-61.7485
191,naryan-mar,RU,-6.23,85.0,93.0,3.69,67.6713,53.087
192,port hedland,AU,33.03,35.0,0.0,6.69,-20.3167,118.5667
193,hithadhoo,MV,29.38,72.0,100.0,3.34,-0.6,73.0833
194,beringovskiy,RU,-1.82,79.0,98.0,0.37,63.05,179.3167
195,codrington,AU,16.42,64.0,2.0,6.06,-38.2667,141.9667
196,ilulissat,GL,-2.99,93.0,100.0,2.06,69.2167,-51.1
197,coquimbo,CL,14.63,88.0,3.0,2.39,-29.9533,-71.3436
198,grand baie,MU,26.36,67.0,69.0,4.92,-20.0182,57.5802
199,kaabong,UG,21.84,67.0,84.0,5.98,3.4836,34.1492
200,lazaro cardenas,MX,23.57,78.0,7.0,1.95,17.9583,-102.2
201,luanda,AO,25.0,88.0,40.0,2.57,-8.8368,13.2343
202,rio gallegos,AR,6.63,85.0,100.0,1.4,-51.6226,-69.2181
203,namatanai,PG,28.96,63.0,65.0,3.92,-3.6667,152.4333
204,severo-kurilsk,RU,1.84,99.0,100.0,5.17,50.6789,156.125
205,hutang,CN,27.37,57.0,16.0,4.12,31.5333,119.4833
206,namioka,JP,23.75,17.0,0.0,7.2,40.7072,140.5894
207,mnogovershinnyy,RU,-3.53,91.0,100.0,5.19,53.9353,139.9242
208,san rafael del sur,NI,25.97,74.0,21.0,2.78,11.8485,-86.4384
209,paamiut,GL,-0.6,95.0,100.0,2.32,61.994,-49.6678
210,ribeira grande,PT,14.73,68.0,33.0,9.33,38.5167,-28.7
211,labuhan,ID,30.34,66.0,100.0,1.42,-6.8844,112.2051
212,mount gambier,AU,19.69,46.0,0.0,4.01,-37.8333,140.7667
213,pesca,CO,10.45,98.0,95.0,0.4,5.55,-73.05
214,mount isa,AU,25.87,73.0,100.0,3.09,-20.7333,139.5
215,le port,RE,25.46,44.0,92.0,3.22,-20.9373,55.2919
216,hobart,AU,17.28,61.0,20.0,4.12,-42.8794,147.3294
217,dublin,US,11.5,82.0,0.0,1.54,37.7021,-121.9358
218,salalah,OM,29.87,63.0,21.0,5.09,17.0151,54.0924
219,beisfjord,NO,5.03,87.0,46.0,0.68,68.3751,17.5988
220,ust-tsilma,RU,1.27,93.0,100.0,0.71,65.441,52.1498
221,marawi,PH,26.36,74.0,33.0,2.46,7.9986,124.2928
222,samana,DO,22.42,83.0,99.0,3.42,19.2056,-69.3369
223,koronowo,PL,6.31,81.0,14.0,1.98,53.3137,17.937
224,ekimchan,RU,0.02,83.0,100.0,3.01,53.0667,132.9667
225,carnarvon,AU,27.83,47.0,0.0,5.27,-24.8667,113.6333
226,saint-denis,FR,9.77,85.0,0.0,3.09,48.9167,2.3333
227,tabas,IR,29.12,21.0,6.0,2.06,33.5959,56.9244
228,san pedro,PH,32.9,61.0,20.0,4.63,14.35,121.0167
229,aketi,CD,23.34,91.0,83.0,1.57,2.7388,23.7833
230,moses lake,US,7.16,54.0,20.0,2.86,47.1301,-119.2781
231,mocuba,MZ,22.75,97.0,98.0,2.31,-16.8392,36.9856
232,hamilton,US,20.12,62.0,19.0,0.89,39.1834,-84.5333
233,san juan del sur,NI,26.09,78.0,0.0,5.6,11.2529,-85.8705
234,katobu,ID,29.8,72.0,67.0,2.19,-4.9408,122.5276
235,banjar,ID,28.63,84.0,73.0,1.27,-8.19,114.9675
236,provideniya,RU,-0.82,75.0,97.0,1.12,64.3833,-173.3
237,andradas,BR,16.13,82.0,0.0,0.49,-22.0681,-46.5692
238,bose,IT,8.75,87.0,100.0,1.24,45.4612,8.0137
239,manzhouli,CN,7.99,40.0,87.0,9.02,49.6,117.4333
240,lockhart,US,19.88,74.0,42.0,3.33,28.6194,-81.4426
241,anadyr,RU,-3.33,73.0,77.0,1.79,64.75,177.4833
242,bandarbeyla,SO,29.63,61.0,37.0,3.67,9.4942,50.8122
243,buchach,UA,8.64,69.0,72.0,2.35,49.0625,25.388
244,pasni,PK,28.62,67.0,1.0,5.09,25.2631,63.471
245,tuktoyaktuk,CA,-8.73,99.0,17.0,2.39,69.4541,-133.0374
246,okha,RU,-1.36,85.0,100.0,6.88,53.5739,142.9478
247,puerto escondido,MX,26.94,75.0,14.0,3.46,15.85,-97.0667
248,ancud,CL,11.79,87.0,100.0,14.27,-41.8697,-73.8203
249,lebu,CL,13.46,96.0,76.0,8.3,-37.6167,-73.65
250,port lincoln,AU,20.14,71.0,95.0,5.12,-34.7333,135.8667
251,leningradskiy,RU,-3.59,92.0,100.0,1.29,69.3833,178.4167
252,kajaani,FI,3.03,75.0,100.0,1.03,64.2273,27.7285
253,murray bridge,AU,26.21,35.0,40.0,6.28,-35.1167,139.2667
254,rocha,UY,10.89,74.0,0.0,2.47,-34.4833,-54.3333
255,tagusao,PH,29.4,72.0,86.0,2.56,9.1924,117.8141
256,cobija,BO,23.25,95.0,100.0,1.12,-11.0267,-68.7692
257,port-gentil,GA,21.98,94.0,75.0,0.51,-0.7193,8.7815
258,te anau,NZ,8.86,81.0,97.0,1.27,-45.4167,167.7167
259,hami,CN,26.55,12.0,4.0,2.0,42.8,93.45
260,pahrump,US,17.29,17.0,17.0,4.02,36.2083,-115.9839
261,fort frances,CA,6.7,41.0,100.0,2.57,48.5999,-93.4003
262,umtata,ZA,14.5,85.0,77.0,0.57,-31.5889,28.7844
263,markova,UA,9.04,73.0,42.0,1.58,48.6758,24.4138
264,saint-leu,RE,25.75,63.0,91.0,1.85,-21.15,55.2833
265,jalu,LY,19.99,46.0,0.0,3.5,29.0331,21.5482
266,alice springs,AU,20.68,32.0,75.0,7.2,-23.7,133.8833
267,zaraza,VE,24.62,76.0,8.0,3.82,9.3503,-65.3245
268,dingle,PH,31.51,61.0,78.0,4.71,10.9995,122.6711
269,bodden town,KY,25.87,74.0,100.0,5.81,19.2833,-81.25
270,griffith,US,21.17,58.0,0.0,7.2,41.5284,-87.4237
271,coihaique,CL,3.97,100.0,100.0,1.54,-45.5752,-72.0662
272,sao felix do xingu,BR,21.16,99.0,90.0,0.38,-6.6447,-51.995
273,santa rosa,PH,32.12,66.0,3.0,6.55,14.3122,121.1114
274,goderich,CA,9.39,78.0,99.0,10.44,43.7501,-81.7165
275,vila velha,BR,24.41,91.0,12.0,4.19,-20.3297,-40.2925
276,rabo de peixe,PT,13.49,85.0,40.0,7.72,37.8,-25.5833
277,soyo,AO,24.64,87.0,100.0,2.08,-6.1349,12.3689
278,cayenne,GF,25.05,1.0,100.0,1.03,4.9333,-52.3333
279,saldanha,ZA,13.74,73.0,2.0,3.2,-33.0117,17.9442
280,santa ines,BR,22.41,99.0,100.0,1.24,-3.6667,-45.38
281,hasaki,JP,17.22,91.0,100.0,3.74,35.7333,140.8333
282,slave lake,CA,3.01,88.0,32.0,2.1,55.2834,-114.769
283,christchurch,NZ,12.62,76.0,100.0,4.63,-43.5333,172.6333
284,kibakwe,TZ,21.6,84.0,100.0,1.58,-6.7167,36.3667
285,luderitz,NA,11.79,73.0,4.0,10.44,-26.6481,15.1594
286,san andres,CO,26.45,82.0,4.0,6.11,12.5847,-81.7006
287,pangnirtung,CA,-14.32,64.0,33.0,3.51,66.1451,-65.7125
288,san quintin,MX,14.69,85.0,0.0,3.01,30.4833,-115.95
289,union,US,11.5,75.0,100.0,2.06,40.6334,-74.2663
290,dudinka,RU,-14.1,90.0,91.0,1.51,69.4058,86.1778
291,florida,US,18.21,88.0,0.0,1.54,28.7505,-82.5001
292,madikeri,IN,29.05,44.0,95.0,1.71,12.4167,75.7333
293,esperance,AU,20.83,57.0,2.0,4.83,-33.8667,121.9
294,takoradi,GH,26.3,89.0,100.0,3.05,4.8845,-1.7554
295,lokomotivnyy,RU,8.73,33.0,92.0,3.89,53.0118,60.5684
296,khash,IR,26.76,20.0,10.0,1.55,28.2211,61.2158
297,mogok,MM,32.98,18.0,15.0,2.6,22.9167,96.5
298,mikkeli,FI,2.06,69.0,0.0,3.09,61.6886,27.2723
299,jiuquan,CN,23.57,10.0,37.0,3.63,39.7432,98.5174
300,betafo,MG,18.81,84.0,100.0,3.31,-19.8333,46.85
301,aitape,PG,29.21,72.0,63.0,2.8,-3.1374,142.3475
302,alofi,NU,26.53,72.0,36.0,2.65,-19.0595,-169.9187
303,yulara,AU,27.36,29.0,7.0,3.37,-25.2406,130.9889
304,kvarkeno,RU,10.07,34.0,93.0,6.31,52.0833,59.725
305,salinopolis,BR,23.83,91.0,100.0,2.94,-0.6136,-47.3561
306,chunhuhub,MX,21.32,98.0,8.0,1.15,19.55,-88.6833
307,dunedin,NZ,11.0,54.0,99.0,8.05,-45.8742,170.5036
308,nioro,GM,25.9,32.0,0.0,1.41,13.35,-15.75
309,upernavik,GL,-20.46,96.0,53.0,2.99,72.7868,-56.1549
310,airai,TL,24.27,42.0,22.0,1.89,-8.9266,125.4092
311,balkanabat,TM,21.97,42.0,4.0,2.24,39.5108,54.3671
312,syumsi,RU,9.7,71.0,97.0,0.87,57.1111,51.6149
313,loukhi,RU,2.48,86.0,95.0,2.46,66.0764,33.0381
314,baruun-urt,MN,15.01,14.0,32.0,6.54,46.6806,113.2792
315,miraflores,MX,19.37,59.0,56.0,1.4,19.2167,-98.8083
316,gunjur,GM,22.04,60.0,0.0,2.06,13.2019,-16.7339
317,wajima,JP,17.12,69.0,100.0,1.98,37.4,136.9
318,buala,SB,28.17,78.0,50.0,2.05,-8.145,159.5921
319,acari,PE,21.23,78.0,7.0,0.21,-15.4311,-74.6158
320,banfora,BF,26.02,69.0,87.0,1.4,10.6333,-4.7667
321,mandera,KE,29.08,58.0,83.0,5.74,3.9366,41.867
322,tshikapa,CD,21.57,99.0,100.0,0.41,-6.4167,20.8
323,juneau,US,4.78,95.0,100.0,1.84,58.3019,-134.4197
324,sidney,AU,21.38,57.0,20.0,4.12,-33.8679,151.2073
325,edd,ER,34.83,35.0,5.0,7.93,13.9297,41.6925
326,cockburn town,TC,25.08,74.0,99.0,8.57,21.4612,-71.1419
327,kizukuri,JP,20.63,31.0,98.0,2.7,40.8061,140.3861
328,vung tau,VN,29.39,73.0,89.0,4.76,10.346,107.0843
329,mahon,ES,13.31,76.0,0.0,3.09,39.8885,4.2658
330,biltine,TD,31.47,8.0,69.0,3.61,14.5333,20.9167
331,ishigaki,JP,29.07,79.0,75.0,4.12,24.3448,124.1572
332,morant bay,JM,23.89,83.0,75.0,3.44,17.8815,-76.4093
333,raduzhnyy,RU,-5.76,75.0,80.0,2.21,62.0961,77.475
334,san patricio,US,23.91,83.0,82.0,7.7,28.017,-97.5169
335,hulan ergi,CN,16.8,17.0,33.0,4.0,47.2042,123.6333
336,thayetmyo,MM,39.43,30.0,62.0,1.88,19.3167,95.1833
337,acapulco,MX,25.79,75.0,18.0,2.92,16.8634,-99.8901
338,port shepstone,ZA,20.65,80.0,8.0,3.27,-30.7414,30.455
339,tautira,PF,25.85,79.0,94.0,3.23,-17.7333,-149.15
340,la libertad,EC,22.33,85.0,65.0,3.83,-2.2333,-80.9
341,raymond,US,2.72,52.0,45.0,3.35,43.9015,-70.4703
342,road town,VG,25.08,67.0,100.0,7.48,18.4167,-64.6167
343,yar-sale,RU,-12.52,82.0,88.0,1.77,66.8333,70.8333
344,iwanai,JP,16.06,38.0,15.0,3.78,42.9744,140.5089
345,eseka,CM,22.26,98.0,100.0,0.45,3.65,10.7667
346,chiredzi,ZW,22.23,70.0,3.0,1.1,-21.05,31.6667
347,tigil,RU,1.25,100.0,100.0,2.15,57.8,158.6667
348,avera,US,14.52,91.0,3.0,2.89,33.194,-82.5271
349,muzhi,RU,-7.27,86.0,100.0,1.52,65.3667,64.6667
350,komsomolskiy,UZ,20.4,60.0,100.0,7.2,40.4272,71.7189
351,chapais,CA,-5.33,91.0,100.0,2.18,49.7834,-74.8492
352,biak,ID,28.41,75.0,37.0,1.12,-0.9131,122.8766
353,darhan,MN,9.02,20.0,79.0,2.45,49.4867,105.9228
354,daru,PG,27.22,86.0,100.0,2.35,-9.0763,143.2092
355,onokhoy,RU,6.51,21.0,9.0,4.58,51.932,108.0747
356,leh,IN,5.95,31.0,5.0,0.6,34.1667,77.5833
357,banda aceh,ID,30.78,67.0,96.0,3.07,5.5577,95.3222
358,alyangula,AU,28.93,79.0,100.0,3.6,-13.8483,136.4192
359,sorland,NO,5.67,81.0,100.0,4.45,67.667,12.6934
360,fort nelson,CA,-0.17,99.0,95.0,1.07,58.8053,-122.7002
361,boyolangu,ID,29.56,71.0,100.0,2.49,-8.1181,111.8935
362,datong,CN,25.65,11.0,88.0,7.48,40.0936,113.2914
363,vila franca do campo,PT,14.0,75.0,19.0,6.44,37.7167,-25.4333
364,akureyri,IS,5.49,83.0,84.0,1.42,65.6835,-18.0878
365,ulladulla,AU,19.87,79.0,58.0,2.91,-35.35,150.4667
366,ust-barguzin,RU,-0.44,67.0,99.0,2.13,53.45,108.9833
367,pampierstad,ZA,15.7,72.0,49.0,1.23,-27.7832,24.6877
368,zyryanovsk,KZ,4.83,41.0,42.0,2.65,49.7386,84.2719
369,cooma,AU,17.07,50.0,1.0,1.16,-36.2333,149.1333
370,sfantu gheorghe,RO,11.26,80.0,47.0,0.48,45.8667,25.7833
371,carballo,ES,10.23,90.0,62.0,2.21,43.213,-8.691
372,shimoda,JP,15.61,94.0,100.0,6.23,34.6667,138.95
373,novonukutskiy,RU,3.92,36.0,96.0,3.45,53.7002,102.7117
374,reguengos de monsaraz,PT,6.45,96.0,4.0,0.93,38.4253,-7.5349
375,ocean city,US,11.66,85.0,59.0,2.68,39.2776,-74.5746
376,qinhuangdao,CN,20.93,34.0,32.0,7.55,39.9317,119.5883
377,muskegon,US,21.95,49.0,0.0,9.77,43.3,-86.1334
378,kargasok,RU,-2.33,75.0,98.0,5.64,59.0556,80.8572
379,auki,SB,27.64,78.0,59.0,1.86,-8.7676,160.7034
